id,primaryTitle,originalTitle,year
tt0000001,Carmencita,Carmencita,1894
tt0000002,Le clown et ses chiens,Le clown et ses chiens,1892
tt0000003,Pauvre Pierrot,Pauvre Pierrot,1892
tt0000004,Un bon bock,Un bon bock,1892
tt0000005,Blacksmith Scene,Blacksmith Scene,1893
tt0000006,Chinese Opium Den,Chinese Opium Den,1894
tt0000007,Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph,1894
tt0000029,Baby's Dinner,Repas de bébé,1895
tt0000008,Edison Kinetoscopic Record of a Sneeze,Edison Kinetoscopic Record of a Sneeze,1894
tt0000009,Miss Jerry,Miss Jerry,1894
tt0000010,Leaving the Factory,La sortie de l'usine Lumière à Lyon,1895
tt0000012,The Arrival of a Train,L'arrivée d'un train à La Ciotat,1896
tt0000016,Barque sortant du port,Barque sortant du port,1895
tt0000013,The Photographical Congress Arrives in Lyon,Neuville-sur-Saône: Débarquement du congrès des photographes à Lyon,1895
tt0000014,The Waterer Watered,L'arroseur arrosé,1895
tt0000015,Autour d'une cabine,Autour d'une cabine,1894
tt0000017,Italienischer Bauerntanz,Italienischer Bauerntanz,1895
tt0000018,Das boxende Känguruh,Das boxende Känguruh,1895
tt0000011,Akrobatisches Potpourri,Akrobatisches Potpourri,1895
tt0000019,The Clown Barber,The Clown Barber,1898
tt0000020,The Derby 1895,The Derby 1895,1895
tt0000022,Blacksmith Scene,Les forgerons,1895
tt0000023,The Sea,Baignade en mer,1895
tt0000024,Opening of the Kiel Canal,Opening of the Kiel Canal,1895
tt0000025,The Oxford and Cambridge University Boat Race,The Oxford and Cambridge University Boat Race,1895
tt0000026,The Messers. Lumière at Cards,Partie d'écarté,1896
tt0000027,Cordeliers' Square in Lyon,Place des Cordeliers à Lyon,1895
tt0000028,Fishing for Goldfish,La pêche aux poissons rouges,1895
tt0000030,Rough Sea at Dover,Rough Sea at Dover,1895
tt0000031,Jumping the Blanket,Le saut à la couverture,1895
tt0000032,Die Serpentintänzerin,Die Serpentintänzerin,1895
tt0000033,Trick Riding,La voltige,1895
tt0000034,Arrivée d'un train gare de Vincennes,Arrivée d'un train gare de Vincennes,1896
tt0000035,Watering the Flowers,L'arroseur,1896
tt0000036,Awakening of Rip,Awakening of Rip,1896
tt0000037,Sea Bathing,Baignade en mer,1896
tt0000038,The Ball Game,The Ball Game,1898
tt0000039,Barnet Horse Fair,Barnet Horse Fair,1896
tt0000040,Barque sortant du port de Trouville,Barque sortant du port de Trouville,1896
tt0000041,Bataille de neige,Bataille de neige,1897
tt0000042,Bateau-mouche sur la Seine,Bateau-mouche sur la Seine,1896
tt0000043,Batteuse à vapeur,Batteuse à vapeur,1896
tt0000044,Le bivouac,Le bivouac,1896
tt0000045,Les blanchisseuses,Les blanchisseuses,1896
tt0000046,Bois de Boulogne,Bois de Boulogne,1896
tt0000047,Boulevard des Italiens,Boulevard des Italiens,1897
tt0000048,The Boxing Kangaroo,The Boxing Kangaroo,1896
tt0000050,Bébé et fillettes,Bébé et fillettes,1896