id,averageRating,numVotes
tt0000001,5.6,1654
tt0000002,6.1,199
tt0000003,6.5,1365
tt0000004,6.2,121
tt0000005,6.2,2149
tt0000006,5.3,115
tt0000007,5.5,659
tt0000008,5.4,1821
tt0000009,5.9,156
tt0000010,6.9,6072
tt0000011,5.2,266
tt0000012,7.4,10394
tt0000013,5.7,1583
tt0000014,7.1,4646
tt0000015,6.1,825
tt0000016,5.9,1211
tt0000017,4.6,243
tt0000018,5.3,481
tt0000019,5.3,20
tt0000020,5,268
tt0000022,5.1,895
tt0000023,5.7,1150
tt0000024,4.5,54
tt0000025,4.2,29
tt0000026,5.7,1317
tt0000027,5.6,934
tt0000028,5.1,861
tt0000029,5.9,2878
tt0000030,5.2,690
tt0000031,5.5,842
tt0000032,5.1,341
tt0000033,5.6,859
tt0000034,5.3,135
tt0000035,5.6,59
tt0000036,4.4,495
tt0000037,4.7,44
tt0000038,4.1,150
tt0000039,3.7,15
tt0000040,4.3,40
tt0000041,6.7,1468
tt0000042,4.8,24
tt0000043,4,15
tt0000044,4.7,30
tt0000045,4.9,19
tt0000046,4.6,19
tt0000047,4,18
tt0000048,4.8,129
tt0000050,4.5,16